wave,group_name,question,frequency,estimate,group_category,mid_date
Week49,Cannot do at all,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,172865,difficulty_with_self-care,9/20/2022
Week49,Cannot do at all,"Frequency of feeling nervous, anxious, or on edge",Did not report,6110,difficulty_with_self-care,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Not at all,229562,difficulty_with_self-care,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Several days,51541,difficulty_with_self-care,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,More than half the days,129463,difficulty_with_self-care,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Nearly every day,204342,difficulty_with_self-care,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Did not report,6110,difficulty_with_self-care,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,2595590,difficulty_with_self-care,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,2056843,difficulty_with_self-care,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,848443,difficulty_with_self-care,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1416006,difficulty_with_self-care,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,42414104,difficulty_with_self-care,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Not at all,2833140,difficulty_with_self-care,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Several days,1920432,difficulty_with_self-care,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,More than half the days,890391,difficulty_with_self-care,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,1174896,difficulty_with_self-care,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Did not report,42512126,difficulty_with_self-care,9/20/2022
Week49,No difficulty,"Frequency of feeling nervous, anxious, or on edge",Not at all,71476604,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,"Frequency of feeling nervous, anxious, or on edge",Several days,62068288,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,"Frequency of feeling nervous, anxious, or on edge",More than half the days,21643971,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,29625566,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,"Frequency of feeling nervous, anxious, or on edge",Did not report,378345,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,Frequency of not being able to stop or control worrying,Not at all,87045909,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,Frequency of not being able to stop or control worrying,Several days,56588915,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,Frequency of not being able to stop or control worrying,More than half the days,18710815,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,Frequency of not being able to stop or control worrying,Nearly every day,22257113,difficulty_understanding_or_being_understood,9/20/2022
Week49,No difficulty,Frequency of not being able to stop or control worrying,Did not report,590021,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,"Frequency of feeling nervous, anxious, or on edge",Not at all,2075794,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,"Frequency of feeling nervous, anxious, or on edge",Several days,5364560,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,"Frequency of feeling nervous, anxious, or on edge",More than half the days,2690181,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5511139,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,"Frequency of feeling nervous, anxious, or on edge",Did not report,13476,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,Frequency of not being able to stop or control worrying,Not at all,2819717,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,Frequency of not being able to stop or control worrying,Several days,5150447,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,Frequency of not being able to stop or control worrying,More than half the days,2483273,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,Frequency of not being able to stop or control worrying,Nearly every day,5181075,difficulty_understanding_or_being_understood,9/20/2022
Week49,Some difficulty,Frequency of not being able to stop or control worrying,Did not report,20637,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,"Frequency of feeling nervous, anxious, or on edge",Not at all,85400,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,"Frequency of feeling nervous, anxious, or on edge",Several days,395409,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,"Frequency of feeling nervous, anxious, or on edge",More than half the days,496278,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,813655,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,"Frequency of feeling nervous, anxious, or on edge",Did not report,2275,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,Frequency of not being able to stop or control worrying,Not at all,176974,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,Frequency of not being able to stop or control worrying,Several days,357939,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,Frequency of not being able to stop or control worrying,More than half the days,546252,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,Frequency of not being able to stop or control worrying,Nearly every day,708122,difficulty_understanding_or_being_understood,9/20/2022
Week49,A lot of difficulty,Frequency of not being able to stop or control worrying,Did not report,3729,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,"Frequency of feeling nervous, anxious, or on edge",Not at all,293796,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,"Frequency of feeling nervous, anxious, or on edge",Several days,52240,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,"Frequency of feeling nervous, anxious, or on edge",More than half the days,66871,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,109311,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,"Frequency of feeling nervous, anxious, or on edge",Did not report,6110,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Not at all,326338,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Several days,31673,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,More than half the days,78128,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Nearly every day,86078,difficulty_understanding_or_being_understood,9/20/2022
Week49,Cannot do at all,Frequency of not being able to stop or control worrying,Did not report,6110,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,2604237,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,2014503,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,869100,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1396524,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,42427379,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Not at all,2793763,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Several days,1915487,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,More than half the days,901885,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,1170512,difficulty_understanding_or_being_understood,9/20/2022
Week49,Did not report,Frequency of not being able to stop or control worrying,Did not report,42530095,difficulty_understanding_or_being_understood,9/20/2022
Week50,Total,"Frequency of feeling nervous, anxious, or on edge",Not at all,76943653,total,10/11/2022
Week50,Total,"Frequency of feeling nervous, anxious, or on edge",Several days,70614902,total,10/11/2022
Week50,Total,"Frequency of feeling nervous, anxious, or on edge",More than half the days,25545166,total,10/11/2022
Week50,Total,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,36969010,total,10/11/2022
Week50,Total,"Frequency of feeling nervous, anxious, or on edge",Did not report,42408279,total,10/11/2022
Week50,Total,Frequency of not being able to stop or control worrying,Not at all,93466182,total,10/11/2022
Week50,Total,Frequency of not being able to stop or control worrying,Several days,65960848,total,10/11/2022
Week50,Total,Frequency of not being able to stop or control worrying,More than half the days,21637211,total,10/11/2022
Week50,Total,Frequency of not being able to stop or control worrying,Nearly every day,28473768,total,10/11/2022
Week50,Total,Frequency of not being able to stop or control worrying,Did not report,42943002,total,10/11/2022
Week50,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Not at all,7516298,age,10/11/2022
Week50,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Several days,11624468,age,10/11/2022
Week50,18 - 29,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4914777,age,10/11/2022
Week50,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,9155033,age,10/11/2022
Week50,18 - 29,"Frequency of feeling nervous, anxious, or on edge",Did not report,10798032,age,10/11/2022
Week50,18 - 29,Frequency of not being able to stop or control worrying,Not at all,10342319,age,10/11/2022
Week50,18 - 29,Frequency of not being able to stop or control worrying,Several days,10827829,age,10/11/2022
Week50,18 - 29,Frequency of not being able to stop or control worrying,More than half the days,5046295,age,10/11/2022
Week50,18 - 29,Frequency of not being able to stop or control worrying,Nearly every day,6860086,age,10/11/2022
Week50,18 - 29,Frequency of not being able to stop or control worrying,Did not report,10932080,age,10/11/2022
Week50,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Not at all,11195441,age,10/11/2022
Week50,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Several days,12592572,age,10/11/2022
Week50,30 - 39,"Frequency of feeling nervous, anxious, or on edge",More than half the days,5485872,age,10/11/2022
Week50,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,7503695,age,10/11/2022
Week50,30 - 39,"Frequency of feeling nervous, anxious, or on edge",Did not report,7959938,age,10/11/2022
Week50,30 - 39,Frequency of not being able to stop or control worrying,Not at all,14875218,age,10/11/2022
Week50,30 - 39,Frequency of not being able to stop or control worrying,Several days,11782037,age,10/11/2022
Week50,30 - 39,Frequency of not being able to stop or control worrying,More than half the days,4520036,age,10/11/2022
Week50,30 - 39,Frequency of not being able to stop or control worrying,Nearly every day,5528828,age,10/11/2022
Week50,30 - 39,Frequency of not being able to stop or control worrying,Did not report,8031399,age,10/11/2022
Week50,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Not at all,11463922,age,10/11/2022
Week50,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Several days,12525063,age,10/11/2022
Week50,40 - 49,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4536775,age,10/11/2022
Week50,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,6605184,age,10/11/2022
Week50,40 - 49,"Frequency of feeling nervous, anxious, or on edge",Did not report,7157059,age,10/11/2022
Week50,40 - 49,Frequency of not being able to stop or control worrying,Not at all,14699298,age,10/11/2022
Week50,40 - 49,Frequency of not being able to stop or control worrying,Several days,11660495,age,10/11/2022
Week50,40 - 49,Frequency of not being able to stop or control worrying,More than half the days,3751292,age,10/11/2022
Week50,40 - 49,Frequency of not being able to stop or control worrying,Nearly every day,4997350,age,10/11/2022
Week50,40 - 49,Frequency of not being able to stop or control worrying,Did not report,7179568,age,10/11/2022
Week50,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Not at all,12687600,age,10/11/2022
Week50,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Several days,12828986,age,10/11/2022
Week50,50 - 59,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4239579,age,10/11/2022
Week50,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,6434292,age,10/11/2022
Week50,50 - 59,"Frequency of feeling nervous, anxious, or on edge",Did not report,6756841,age,10/11/2022
Week50,50 - 59,Frequency of not being able to stop or control worrying,Not at all,15252745,age,10/11/2022
Week50,50 - 59,Frequency of not being able to stop or control worrying,Several days,12340523,age,10/11/2022
Week50,50 - 59,Frequency of not being able to stop or control worrying,More than half the days,3336643,age,10/11/2022
Week50,50 - 59,Frequency of not being able to stop or control worrying,Nearly every day,5219901,age,10/11/2022
Week50,50 - 59,Frequency of not being able to stop or control worrying,Did not report,6797484,age,10/11/2022
Week50,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Not at all,18687233,age,10/11/2022
Week50,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Several days,12701293,age,10/11/2022
Week50,60 - 69,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4330957,age,10/11/2022
Week50,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,4890482,age,10/11/2022
Week50,60 - 69,"Frequency of feeling nervous, anxious, or on edge",Did not report,6025981,age,10/11/2022
Week50,60 - 69,Frequency of not being able to stop or control worrying,Not at all,21231156,age,10/11/2022
Week50,60 - 69,Frequency of not being able to stop or control worrying,Several days,11915981,age,10/11/2022
Week50,60 - 69,Frequency of not being able to stop or control worrying,More than half the days,3282057,age,10/11/2022
Week50,60 - 69,Frequency of not being able to stop or control worrying,Nearly every day,3964006,age,10/11/2022
Week50,60 - 69,Frequency of not being able to stop or control worrying,Did not report,6242744,age,10/11/2022
Week50,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Not at all,12670946,age,10/11/2022
Week50,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Several days,7276673,age,10/11/2022
Week50,70 - 79,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1624454,age,10/11/2022
Week50,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2055769,age,10/11/2022
Week50,70 - 79,"Frequency of feeling nervous, anxious, or on edge",Did not report,2914669,age,10/11/2022
Week50,70 - 79,Frequency of not being able to stop or control worrying,Not at all,14339802,age,10/11/2022
Week50,70 - 79,Frequency of not being able to stop or control worrying,Several days,6264247,age,10/11/2022
Week50,70 - 79,Frequency of not being able to stop or control worrying,More than half the days,1455766,age,10/11/2022
Week50,70 - 79,Frequency of not being able to stop or control worrying,Nearly every day,1528646,age,10/11/2022
Week50,70 - 79,Frequency of not being able to stop or control worrying,Did not report,2954051,age,10/11/2022
Week50,80 and above,"Frequency of feeling nervous, anxious, or on edge",Not at all,2722214,age,10/11/2022
Week50,80 and above,"Frequency of feeling nervous, anxious, or on edge",Several days,1065848,age,10/11/2022
Week50,80 and above,"Frequency of feeling nervous, anxious, or on edge",More than half the days,412752,age,10/11/2022
Week50,80 and above,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,324555,age,10/11/2022
Week50,80 and above,"Frequency of feeling nervous, anxious, or on edge",Did not report,795758,age,10/11/2022
Week50,80 and above,Frequency of not being able to stop or control worrying,Not at all,2725642,age,10/11/2022
Week50,80 and above,Frequency of not being able to stop or control worrying,Several days,1169736,age,10/11/2022
Week50,80 and above,Frequency of not being able to stop or control worrying,More than half the days,245122,age,10/11/2022
Week50,80 and above,Frequency of not being able to stop or control worrying,Nearly every day,374951,age,10/11/2022
Week50,80 and above,Frequency of not being able to stop or control worrying,Did not report,805675,age,10/11/2022
Week50,Male,"Frequency of feeling nervous, anxious, or on edge",Not at all,43361678,sex_at_birth,10/11/2022
Week50,Male,"Frequency of feeling nervous, anxious, or on edge",Several days,30041507,sex_at_birth,10/11/2022
Week50,Male,"Frequency of feeling nervous, anxious, or on edge",More than half the days,11564351,sex_at_birth,10/11/2022
Week50,Male,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,16043091,sex_at_birth,10/11/2022
Week50,Male,"Frequency of feeling nervous, anxious, or on edge",Did not report,21999412,sex_at_birth,10/11/2022
Week50,Male,Frequency of not being able to stop or control worrying,Not at all,51786816,sex_at_birth,10/11/2022
Week50,Male,Frequency of not being able to stop or control worrying,Several days,27862202,sex_at_birth,10/11/2022
Week50,Male,Frequency of not being able to stop or control worrying,More than half the days,9477641,sex_at_birth,10/11/2022
Week50,Male,Frequency of not being able to stop or control worrying,Nearly every day,11684770,sex_at_birth,10/11/2022
Week50,Male,Frequency of not being able to stop or control worrying,Did not report,22198611,sex_at_birth,10/11/2022
Week50,Female,"Frequency of feeling nervous, anxious, or on edge",Not at all,33581975,sex_at_birth,10/11/2022
Week50,Female,"Frequency of feeling nervous, anxious, or on edge",Several days,40573395,sex_at_birth,10/11/2022
Week50,Female,"Frequency of feeling nervous, anxious, or on edge",More than half the days,13980815,sex_at_birth,10/11/2022
Week50,Female,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,20925919,sex_at_birth,10/11/2022
Week50,Female,"Frequency of feeling nervous, anxious, or on edge",Did not report,20408866,sex_at_birth,10/11/2022
Week50,Female,Frequency of not being able to stop or control worrying,Not at all,41679366,sex_at_birth,10/11/2022
Week50,Female,Frequency of not being able to stop or control worrying,Several days,38098647,sex_at_birth,10/11/2022
Week50,Female,Frequency of not being able to stop or control worrying,More than half the days,12159570,sex_at_birth,10/11/2022
Week50,Female,Frequency of not being able to stop or control worrying,Nearly every day,16788998,sex_at_birth,10/11/2022
Week50,Female,Frequency of not being able to stop or control worrying,Did not report,20744391,sex_at_birth,10/11/2022
Week50,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Not at all,42425489,gender,10/11/2022
Week50,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Several days,29555422,gender,10/11/2022
Week50,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",More than half the days,11067438,gender,10/11/2022
Week50,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,14682178,gender,10/11/2022
Week50,Cisgender male,"Frequency of feeling nervous, anxious, or on edge",Did not report,20677754,gender,10/11/2022
Week50,Cisgender male,Frequency of not being able to stop or control worrying,Not at all,50746144,gender,10/11/2022
Week50,Cisgender male,Frequency of not being able to stop or control worrying,Several days,27107551,gender,10/11/2022
Week50,Cisgender male,Frequency of not being able to stop or control worrying,More than half the days,9136037,gender,10/11/2022
Week50,Cisgender male,Frequency of not being able to stop or control worrying,Nearly every day,10599201,gender,10/11/2022
Week50,Cisgender male,Frequency of not being able to stop or control worrying,Did not report,20819347,gender,10/11/2022
Week50,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Not at all,32873978,gender,10/11/2022
Week50,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Several days,39523149,gender,10/11/2022
Week50,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",More than half the days,13141912,gender,10/11/2022
Week50,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,19682680,gender,10/11/2022
Week50,Cisgender female,"Frequency of feeling nervous, anxious, or on edge",Did not report,18730389,gender,10/11/2022
Week50,Cisgender female,Frequency of not being able to stop or control worrying,Not at all,40642813,gender,10/11/2022
Week50,Cisgender female,Frequency of not being able to stop or control worrying,Several days,36904309,gender,10/11/2022
Week50,Cisgender female,Frequency of not being able to stop or control worrying,More than half the days,11505693,gender,10/11/2022
Week50,Cisgender female,Frequency of not being able to stop or control worrying,Nearly every day,15829856,gender,10/11/2022
Week50,Cisgender female,Frequency of not being able to stop or control worrying,Did not report,19069437,gender,10/11/2022
Week50,Transgender,"Frequency of feeling nervous, anxious, or on edge",Not at all,524950,gender,10/11/2022
Week50,Transgender,"Frequency of feeling nervous, anxious, or on edge",Several days,475494,gender,10/11/2022
Week50,Transgender,"Frequency of feeling nervous, anxious, or on edge",More than half the days,477971,gender,10/11/2022
Week50,Transgender,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,983741,gender,10/11/2022
Week50,Transgender,"Frequency of feeling nervous, anxious, or on edge",Did not report,434025,gender,10/11/2022
Week50,Transgender,Frequency of not being able to stop or control worrying,Not at all,736481,gender,10/11/2022
Week50,Transgender,Frequency of not being able to stop or control worrying,Several days,728394,gender,10/11/2022
Week50,Transgender,Frequency of not being able to stop or control worrying,More than half the days,310826,gender,10/11/2022
Week50,Transgender,Frequency of not being able to stop or control worrying,Nearly every day,688967,gender,10/11/2022
Week50,Transgender,Frequency of not being able to stop or control worrying,Did not report,431513,gender,10/11/2022
Week50,None of these,"Frequency of feeling nervous, anxious, or on edge",Not at all,477784,gender,10/11/2022
Week50,None of these,"Frequency of feeling nervous, anxious, or on edge",Several days,719000,gender,10/11/2022
Week50,None of these,"Frequency of feeling nervous, anxious, or on edge",More than half the days,565829,gender,10/11/2022
Week50,None of these,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1393499,gender,10/11/2022
Week50,None of these,"Frequency of feeling nervous, anxious, or on edge",Did not report,1122625,gender,10/11/2022
Week50,None of these,Frequency of not being able to stop or control worrying,Not at all,674185,gender,10/11/2022
Week50,None of these,Frequency of not being able to stop or control worrying,Several days,820703,gender,10/11/2022
Week50,None of these,Frequency of not being able to stop or control worrying,More than half the days,452910,gender,10/11/2022
Week50,None of these,Frequency of not being able to stop or control worrying,Nearly every day,1206883,gender,10/11/2022
Week50,None of these,Frequency of not being able to stop or control worrying,Did not report,1124055,gender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,641453,gender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,341838,gender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,292017,gender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,226913,gender,10/11/2022
Week50,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,1443486,gender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Not at all,666559,gender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Several days,399891,gender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,More than half the days,231746,gender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,148861,gender,10/11/2022
Week50,Did not report,Frequency of not being able to stop or control worrying,Did not report,1498650,gender,10/11/2022
Week50,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Not at all,2122247,sexual_orientation,10/11/2022
Week50,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Several days,2480240,sexual_orientation,10/11/2022
Week50,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1138647,sexual_orientation,10/11/2022
Week50,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1637428,sexual_orientation,10/11/2022
Week50,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Did not report,1448843,sexual_orientation,10/11/2022
Week50,Gay or lesbian,Frequency of not being able to stop or control worrying,Not at all,2459375,sexual_orientation,10/11/2022
Week50,Gay or lesbian,Frequency of not being able to stop or control worrying,Several days,2333312,sexual_orientation,10/11/2022
Week50,Gay or lesbian,Frequency of not being able to stop or control worrying,More than half the days,1474169,sexual_orientation,10/11/2022
Week50,Gay or lesbian,Frequency of not being able to stop or control worrying,Nearly every day,1111900,sexual_orientation,10/11/2022
Week50,Gay or lesbian,Frequency of not being able to stop or control worrying,Did not report,1448649,sexual_orientation,10/11/2022
Week50,Straight,"Frequency of feeling nervous, anxious, or on edge",Not at all,69407862,sexual_orientation,10/11/2022
Week50,Straight,"Frequency of feeling nervous, anxious, or on edge",Several days,61804895,sexual_orientation,10/11/2022
Week50,Straight,"Frequency of feeling nervous, anxious, or on edge",More than half the days,20771995,sexual_orientation,10/11/2022
Week50,Straight,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,28191622,sexual_orientation,10/11/2022
Week50,Straight,"Frequency of feeling nervous, anxious, or on edge",Did not report,34563100,sexual_orientation,10/11/2022
Week50,Straight,Frequency of not being able to stop or control worrying,Not at all,83562807,sexual_orientation,10/11/2022
Week50,Straight,Frequency of not being able to stop or control worrying,Several days,57463622,sexual_orientation,10/11/2022
Week50,Straight,Frequency of not being able to stop or control worrying,More than half the days,16945763,sexual_orientation,10/11/2022
Week50,Straight,Frequency of not being able to stop or control worrying,Nearly every day,21788574,sexual_orientation,10/11/2022
Week50,Straight,Frequency of not being able to stop or control worrying,Did not report,34978708,sexual_orientation,10/11/2022
Week50,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Not at all,1458698,sexual_orientation,10/11/2022
Week50,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Several days,3265455,sexual_orientation,10/11/2022
Week50,Bisexual,"Frequency of feeling nervous, anxious, or on edge",More than half the days,2397242,sexual_orientation,10/11/2022
Week50,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,3796312,sexual_orientation,10/11/2022
Week50,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Did not report,2564387,sexual_orientation,10/11/2022
Week50,Bisexual,Frequency of not being able to stop or control worrying,Not at all,2411303,sexual_orientation,10/11/2022
Week50,Bisexual,Frequency of not being able to stop or control worrying,Several days,3368394,sexual_orientation,10/11/2022
Week50,Bisexual,Frequency of not being able to stop or control worrying,More than half the days,2122118,sexual_orientation,10/11/2022
Week50,Bisexual,Frequency of not being able to stop or control worrying,Nearly every day,3022381,sexual_orientation,10/11/2022
Week50,Bisexual,Frequency of not being able to stop or control worrying,Did not report,2557898,sexual_orientation,10/11/2022
Week50,Something else,"Frequency of feeling nervous, anxious, or on edge",Not at all,1198319,sexual_orientation,10/11/2022
Week50,Something else,"Frequency of feeling nervous, anxious, or on edge",Several days,1351622,sexual_orientation,10/11/2022
Week50,Something else,"Frequency of feeling nervous, anxious, or on edge",More than half the days,697327,sexual_orientation,10/11/2022
Week50,Something else,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1658904,sexual_orientation,10/11/2022
Week50,Something else,"Frequency of feeling nervous, anxious, or on edge",Did not report,1199159,sexual_orientation,10/11/2022
Week50,Something else,Frequency of not being able to stop or control worrying,Not at all,1666947,sexual_orientation,10/11/2022
Week50,Something else,Frequency of not being able to stop or control worrying,Several days,1407707,sexual_orientation,10/11/2022
Week50,Something else,Frequency of not being able to stop or control worrying,More than half the days,556916,sexual_orientation,10/11/2022
Week50,Something else,Frequency of not being able to stop or control worrying,Nearly every day,1242391,sexual_orientation,10/11/2022
Week50,Something else,Frequency of not being able to stop or control worrying,Did not report,1231371,sexual_orientation,10/11/2022
Week50,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Not at all,1447792,sexual_orientation,10/11/2022
Week50,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Several days,1168233,sexual_orientation,10/11/2022
Week50,I don’t know,"Frequency of feeling nervous, anxious, or on edge",More than half the days,440728,sexual_orientation,10/11/2022
Week50,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1301434,sexual_orientation,10/11/2022
Week50,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Did not report,997714,sexual_orientation,10/11/2022
Week50,I don’t know,Frequency of not being able to stop or control worrying,Not at all,1972627,sexual_orientation,10/11/2022
Week50,I don’t know,Frequency of not being able to stop or control worrying,Several days,843594,sexual_orientation,10/11/2022
Week50,I don’t know,Frequency of not being able to stop or control worrying,More than half the days,411483,sexual_orientation,10/11/2022
Week50,I don’t know,Frequency of not being able to stop or control worrying,Nearly every day,1107199,sexual_orientation,10/11/2022
Week50,I don’t know,Frequency of not being able to stop or control worrying,Did not report,1020998,sexual_orientation,10/11/2022
